document_id,doc_index,question_id,q_index,prompt_type,prompt_description,full_prompt_text,llm_response
doc_001,0,q_001_01,0,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What was used to control the Jacquard machine?",The Jacquard machine was controlled by **punched cards**.
doc_001,0,q_001_01,0,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What was used to control the Jacquard machine?",The Jacquard machine was controlled by a number of punched cards.
doc_001,0,q_001_01,0,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What was used to control the Jacquard machine?","The Jacquard machine was controlled by a number of punched cards, laced together into a continuous sequence."
doc_001,0,q_002_01,1,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What don't axolotls undergo that other amphibians do?","The provided text is about the Jacquard machine and its impact on computing. It doesn't contain any information about axolotls or other amphibians. Therefore, I cannot answer the question."
doc_001,0,q_002_01,1,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What don't axolotls undergo that other amphibians do?","The provided text is about the Jacquard machine and its history. It does not contain any information about axolotls or other amphibians. Therefore, I cannot answer the question."
doc_001,0,q_002_01,1,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What don't axolotls undergo that other amphibians do?",The document does not provide an answer.
doc_001,0,q_003_01,2,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What country's government operates the Global Positioning System?","The provided text is about the Jacquard machine and does not contain information about the Global Positioning System (GPS). Therefore, I cannot answer your question based on the text."
doc_001,0,q_003_01,2,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What country's government operates the Global Positioning System?",The provided text does not contain information about the Global Positioning System or which country's government operates it.
doc_001,0,q_003_01,2,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What country's government operates the Global Positioning System?",The document does not provide an answer.
doc_001,0,q_004_01,3,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What language of text accompnies the scenes in the Bayeux Tapestry?","The provided text describes the Jacquard machine and its significance in the history of computing. It does not mention the Bayeux Tapestry. Therefore, I cannot answer your question."
