document_id,doc_index,question_id,q_index,prompt_type,prompt_description,full_prompt_text,llm_response
doc_001,0,q_001_01,0,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What was used to control the Jacquard machine?","The Jacquard machine was controlled by a number of punched cards, which were laced together into a continuous sequence. Each card had multiple rows of holes punched in it, with one complete card corresponding to one row of the design."
doc_001,0,q_001_01,0,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What was used to control the Jacquard machine?","The Jacquard machine was controlled by a number of punched cards, laced together into a continuous sequence."
doc_001,0,q_001_01,0,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What was used to control the Jacquard machine?","The Jacquard machine was controlled by a number of punched cards, laced together into a continuous sequence."
doc_001,0,q_002_01,1,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What don't axolotls undergo that other amphibians do?","Axolotls, unlike many other amphibians, do not undergo a process called metamorphosis. While most amphibians, such as frogs and toads, transition from a larval stage (tadpoles) to an adult form (with lungs and the ability to live on land), axolotls retain their larval features throughout their lives. This phenomenon is known as neoteny, where they remain aquatic and gilled, even as they reach sexual maturity."
doc_001,0,q_002_01,1,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What don't axolotls undergo that other amphibians do?","The document provided does not contain any information about axolotls or their developmental processes compared to other amphibians. Therefore, I cannot answer the question based on the content given. If you have a different document or specific information about axolotls, please provide it, and I would be happy to help!"
doc_001,0,q_002_01,1,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What don't axolotls undergo that other amphibians do?",The document does not provide an answer.
doc_001,0,q_003_01,2,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What country's government operates the Global Positioning System?",The Global Positioning System (GPS) is operated by the United States government. It is managed by the U.S. Department of Defense and provides global positioning and navigation services to users worldwide.
doc_001,0,q_003_01,2,grounding,Grounding: Instructs LLM to use only the document.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above:
What country's government operates the Global Positioning System?","The document provided does not contain any information about the Global Positioning System or the country that operates it. Therefore, I cannot answer that question based on the text provided."
doc_001,0,q_003_01,2,grounding_idk,Grounding + IDK: Instructs LLM to use document and say 'I don't know' if answer not present.,"The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
Please answer the following question according to the document above. If the document above does not answer the question, please reply 'The document does not provide an answer.':
What country's government operates the Global Positioning System?",The document does not provide an answer.
doc_001,0,q_004_01,3,simple_question,"Simple question: Document, then question.","The Jacquard machine is a draw loom that was first demonstrated in 1801 in Lyon, France. It was developed by French weaver and inventor Joseph Marie Jacquard. The machine is controlled by a number of punched cards, laced together into a continuous sequence. Multiple rows of holes are punched on each card, with one complete card corresponding to one row of the design. This use of replaceable punched cards to control a sequence of operations is considered an important step in the history of computing hardware, as it laid the foundation for programmability.
---
What language of text accompnies the scenes in the Bayeux Tapestry?","The Bayeux Tapestry is accompanied by Latin text. The inscriptions are written in a form of Latin known as ""insular Latin,"" which was commonly used in medieval England and continental Europe. The text provides context and commentary on the scenes depicted in the tapestry, which narrates the events leading up to the Norman Conquest of England in 1066."
